Age_band_of_driver,Sex_of_driver,Educational_level,Driving_experience,Type_of_vehicle,Service_year_of_vehicle,Defect_of_vehicle,Area_accident_occured,Lanes_or_Medians,Road_allignment,Types_of_Junction,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Type_of_collision,Number_of_vehicles_involved,Number_of_casualties,Vehicle_movement,Casualty_class,Sex_of_casualty,Age_band_of_casualty,Casualty_severity,Work_of_casuality,Fitness_of_casuality,Pedestrian_movement,Cause_of_accident,Accident_severity
18-30,Male,Junior high school,1-2yr,Public (12 seats),Unknown,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Crossing from driver's nearside,No distancing,Slight Injury
18-30,Male,Elementary school,5-10yr,Other,,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Fog or mist,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Female,Over 51,3,Driver,Normal,Unknown or other,No distancing,Slight Injury
18-30,Male,High school,2-5yr,Automobile,Below 1yr,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Female,18-30,3,,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Serious Injury
Under 18,Male,Elementary school,2-5yr,Special vehicle,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3,Driver,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle",Moving Backward,Slight Injury
31-50,Male,Junior high school,Above 10yr,Public (> 45 seats),5-10yrs,No defect,Other,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,1,Reversing,Pedestrian,Female,31-50,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
Over 51,Female,Junior high school,1-2yr,Automobile,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,4,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Unknown or other,Changing lane to the left,Slight Injury
18-30,Male,,Below 1yr,Other,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,Under 18,3,,,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
31-50,Male,Elementary school,Above 10yr,Other,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Unknown or other,Driving under the influence of drugs,Slight Injury
18-30,Male,,,Stationwagen,,No defect,Other,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,3,Going straight,Pedestrian,Female,18-30,2,,Normal,Crossing from driver's nearside,Overtaking,Serious Injury
31-50,Male,Junior high school,Below 1yr,Automobile,,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,,Pedestrian,Female,Over 51,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury
18-30,Male,Junior high school,Above 10yr,Other,,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,3,1,Moving Backward,Pedestrian,Female,31-50,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to vehicle,Slight Injury
Over 51,Male,,,Lorry (41?100Q),Unknown,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Raining,Vehicle with vehicle collision,2,3,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Crossing from driver's nearside,Overturning,Slight Injury
18-30,Male,Elementary school,Above 10yr,Lorry (11?40Q),,No defect,Other,One way,Tangent road with flat terrain,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Male,18-30,3,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Slight Injury
31-50,Male,Junior high school,Below 1yr,Lorry (41?100Q),,,Office areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Vehicle with vehicle collision,2,2,Going straight,Pedestrian,Female,Under 18,3,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury
Over 51,Male,Junior high school,,Lorry (41?100Q),Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Vehicle with vehicle collision,2,1,Going straight,Pedestrian,Male,31-50,3,Driver,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing) - masked by parked or statioNot a Pedestrianry vehicle",No distancing,Slight Injury
18-30,Male,Above high school,1-2yr,Other,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Raining,Vehicle with vehicle collision,1,1,,Pedestrian,Male,18-30,3,Self-employed,Normal,Crossing from driver's nearside,Driving at high speed,Slight Injury
31-50,Male,Above high school,1-2yr,Automobile,2-5yrs,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Daylight,Cloudy,Vehicle with vehicle collision,1,1,Going straight,Pedestrian,Male,31-50,3,,,Crossing from driver's nearside,Driving carelessly,Slight Injury
18-30,Male,Elementary school,5-10yr,Other,2-5yrs,,Residential areas,Undivided Two way,Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Windy,Vehicle with vehicle collision,3,1,Going straight,Pedestrian,Female,31-50,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury
31-50,Unknown,Junior high school,1-2yr,Pick up upto 10Q,Unknown,, Industrial areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Wet or damp,Daylight,Normal,Collision with pedestrians,3,4,Reversing,Pedestrian,Male,31-50,3,Employee,Normal,Unknown or other,Changing lane to the left,Slight Injury
31-50,Male,Above high school,1-2yr,Automobile,1-2yr,No defect,,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,3,2,Turnover,Pedestrian,Female,Under 18,2,Driver,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Driving at high speed,Slight Injury
31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),,,,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Overtaking,Pedestrian,Male,Under 18,2,,,Unknown or other,Driving carelessly,Slight Injury
Over 51,Female,Junior high school,5-10yr,Lorry (41?100Q),,, Church areas,other,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,Pedestrian,Female,31-50,3,,,Unknown or other,No distancing,Slight Injury
18-30,Male,High school,Above 10yr,,Unknown,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,3,2,Unknown,Pedestrian,Female,Over 51,2,Self-employed,Normal,Crossing from driver's nearside,Other,Slight Injury
31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),2-5yrs,No defect,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,Pedestrian,Male,Over 51,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Above 10yr,Public (13?45 seats),5-10yrs,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Pedestrian,Male,Under 18,3,,,Crossing from driver's nearside,Changing lane to the right,Slight Injury
31-50,Male,Elementary school,5-10yr,Public (12 seats),,No defect,  Recreational areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,,2,1,Reversing,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Slight Injury
Unknown,Female,Junior high school,Below 1yr,Stationwagen,,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Overtaking,Pedestrian,Female,18-30,1,Driver,Normal,Unknown or other,No priority to pedestrian,Slight Injury
31-50,Male,Junior high school,1-2yr,Pick up upto 10Q,Above 10yr,,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,3,Reversing,Pedestrian,Female,Over 51,3,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
31-50,Male,Writing & reading,5-10yr,Other,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Reversing,Pedestrian,Male,31-50,2,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury
18-30,Male,Elementary school,5-10yr,Other,Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,,Pedestrian,Male,Over 51,2,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury
18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,1,Other,Pedestrian,Male,31-50,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Other,Slight Injury
31-50,Male,High school,1-2yr,Automobile,Unknown,,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,,2,1,Reversing,Pedestrian,Male,Under 18,3,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
31-50,Male,Elementary school,2-5yr,Other,,,School areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Other,Pedestrian,Female,31-50,2,,,Crossing from driver's nearside,Driving under the influence of drugs,Serious Injury
31-50,Male,Junior high school,1-2yr,Taxi,5-10yrs,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Reversing,Pedestrian,Female,18-30,3,Driver,Normal,Unknown or other,No priority to vehicle,Slight Injury
Over 51,Male,Junior high school,Below 1yr,Automobile,Unknown,,Office areas,One way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,4,2,Moving Backward,Pedestrian,Male,Over 51,3,Employee,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
18-30,Male,Junior high school,5-10yr,,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,2,Stopping,Pedestrian,Male,18-30,3,Driver,Normal,Unknown or other,Changing lane to the left,Slight Injury
31-50,Male,Junior high school,Above 10yr,Other,2-5yrs,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,Pedestrian,Female,Over 51,3,Employee,Normal,Unknown or other,No distancing,Slight Injury
31-50,Male,Elementary school,Above 10yr,Lorry (11?40Q),,No defect,  Recreational areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Stopping,Pedestrian,Male,31-50,3,Self-employed,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Driving carelessly,Serious Injury
18-30,Male,Junior high school,5-10yr,Public (> 45 seats),,No defect,Other,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,,1,1,Moving Backward,Pedestrian,Female,5,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Serious Injury
31-50,Male,Junior high school,Above 10yr,Pick up upto 10Q,Above 10yr,No defect,Residential areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Moving Backward,Pedestrian,Female,Over 51,3,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Fatal injury
18-30,Male,Elementary school,5-10yr,Lorry (41?100Q),2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Getting off,Pedestrian,Female,18-30,3,Driver,Normal,Crossing from driver's nearside,Driving carelessly,Slight Injury
31-50,Male,Junior high school,Above 10yr,Stationwagen,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Moving Backward,Pedestrian,Male,18-30,3,,,Unknown or other,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,2-5yr,Automobile,Unknown,,Residential areas,,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Getting off,Pedestrian,Female,31-50,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury
18-30,Male,Junior high school,2-5yr,Stationwagen,Above 10yr,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Moving Backward,Pedestrian,Female,Over 51,2,Driver,Normal,Unknown or other,Driving carelessly,Fatal injury
31-50,Male,,Below 1yr,Stationwagen,1-2yr,No defect,Other,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,,Pedestrian,Female,Over 51,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
18-30,Male,Elementary school,2-5yr,Other,,No defect,  Recreational areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,5,Moving Backward,Pedestrian,Male,31-50,3,Driver,Normal,Unknown or other,Changing lane to the right,Fatal injury
31-50,Male,Junior high school,2-5yr,Lorry (11?40Q),Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads with some distress,Dry,Daylight,Normal,Rollover,3,3,,Pedestrian,Male,18-30,3,Other,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",No priority to vehicle,Slight Injury
31-50,Male,Above high school,5-10yr,Automobile,,No defect,Office areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,2,2,Moving Backward,Pedestrian,Female,Over 51,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
18-30,Male,Junior high school,Below 1yr,Bajaj,Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,2,Turnover,Pedestrian,Female,18-30,3,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Slight Injury
31-50,Male,Junior high school,Below 1yr,Pick up upto 10Q,,,Other,,Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Other,Pedestrian,Female,Under 18,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Overtaking,Slight Injury
18-30,Male,Junior high school,Below 1yr,Public (12 seats),1-2yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Other,Earth roads,Dry,Daylight,Normal,Rollover,2,3,Other,Pedestrian,Male,Under 18,3,Driver,Normal,Unknown or other,No distancing,Slight Injury
18-30,Male,Junior high school,1-2yr,Lorry (41?100Q),Unknown,No defect,Other,other,Tangent road with flat terrain,No junction,Earth roads,Dry,Daylight,Normal,Collision with roadside objects,1,1,Other,Pedestrian,Female,31-50,3,Other,Normal,Unknown or other,Moving Backward,Slight Injury
18-30,Male,Junior high school,1-2yr,Public (12 seats),Above 10yr,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Other,Pedestrian,Male,Under 18,3,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,Above 10yr,Lorry (41?100Q),Above 10yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Reversing,Pedestrian,Male,Over 51,3,,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
18-30,Male,Junior high school,Below 1yr,Other,Unknown,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,1,1,Getting off,Pedestrian,Male,Over 51,3,Self-employed,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Moving Backward,Serious Injury
18-30,Male,Junior high school,2-5yr,Pick up upto 10Q,5-10yrs,No defect, Church areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Moving Backward,Pedestrian,Female,Under 18,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
Under 18,Male,Elementary school,Below 1yr,Automobile,Unknown,,Other,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,3,Reversing,Pedestrian,Female,Under 18,3,,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving carelessly,Slight Injury
18-30,Male,Junior high school,Below 1yr,Pick up upto 10Q,,, Church areas,Undivided Two way,Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Rollover,2,1,Reversing,Pedestrian,Female,31-50,3,,Normal,Unknown or other,Changing lane to the right,Slight Injury
Unknown,Male,Elementary school,,Automobile,Above 10yr,No defect,School areas,other,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,3,2,Other,Pedestrian,Male,18-30,3,Self-employed,Normal,Crossing from driver's nearside,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,2-5yr,Lorry (41?100Q),,,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,1,Reversing,Pedestrian,Female,18-30,3,,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Overtaking,Serious Injury
18-30,Male,Junior high school,5-10yr,Pick up upto 10Q,2-5yrs,,Office areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with animals,1,1,Other,Pedestrian,Male,Under 18,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Serious Injury
Over 51,Male,Junior high school,5-10yr,Lorry (41?100Q),Unknown,No defect, Church areas,Double carriageway (median),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Darkness - lights lit,Normal,Rollover,2,2,Moving Backward,Pedestrian,Male,18-30,3,Driver,Normal,Unknown or other,No priority to vehicle,Slight Injury
Over 51,Male,Junior high school,5-10yr,Stationwagen,Unknown,No defect, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with roadside objects,2,1,Turnover,Pedestrian,Female,Under 18,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Getting off the vehicle improperly,Slight Injury
18-30,Male,Junior high school,2-5yr,Automobile,2-5yrs,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,3,Moving Backward,Pedestrian,Male,Over 51,3,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Driving under the influence of drugs,Slight Injury
18-30,Male,Junior high school,Above 10yr,Ridden horse,Below 1yr,No defect,Residential areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Entering a junction,Pedestrian,Male,Under 18,3,Employee,Normal,Crossing from driver's nearside,Driving carelessly,Serious Injury
31-50,Male,Junior high school,2-5yr,Automobile,Above 10yr,No defect, Hospital areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,No junction,Asphalt roads,Dry,Daylight,Normal,Collision with animals,1,4,Moving Backward,Pedestrian,Female,31-50,3,,,Crossing from driver's nearside,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,5-10yr,Public (> 45 seats),Unknown,No defect,Office areas,Undivided Two way,Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,Pedestrian,Female,18-30,2,Driver,Blind,Crossing from driver's nearside,Moving Backward,Slight Injury
31-50,Male,Junior high school,Above 10yr,Automobile,2-5yrs,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Crossing,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Entering a junction,Pedestrian,Male,31-50,3,Driver,Normal,Unknown or other,Changing lane to the right,Slight Injury
18-30,Male,Junior high school,Above 10yr,Automobile,Below 1yr,,Residential areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,,2,1,Other,Pedestrian,Female,31-50,3,Driver,Normal,"In carriageway, statioNot a Pedestrianry - not crossing  (standing or playing)",Changing lane to the left,Slight Injury
Over 51,Male,Junior high school,Above 10yr,Public (13?45 seats),2-5yrs,No defect,Other,other,Tangent road with flat terrain,,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Moving Backward,Pedestrian,Female,31-50,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
31-50,Male,Junior high school,Above 10yr,Public (12 seats),Unknown,No defect,Other,other,Tangent road with flat terrain,,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,3,1,Moving Backward,Pedestrian,Female,31-50,3,,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Slight Injury
18-30,Male,Junior high school,Above 10yr,Lorry (41?100Q),,,Other,other,Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,,Pedestrian,Male,18-30,3,Driver,Normal,"Walking along in carriageway, back to traffic",Overtaking,Slight Injury
31-50,Male,Junior high school,5-10yr,Lorry (41?100Q),,No defect,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,,Asphalt roads,Dry,Darkness - lights lit,Normal,Collision with roadside objects,1,4,Reversing,Pedestrian,Male,Over 51,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Getting off the vehicle improperly,Fatal injury
31-50,Male,Elementary school,Below 1yr,Stationwagen,Unknown,No defect, Church areas,Two-way (divided with solid lines road marking),Tangent road with flat terrain,,Asphalt roads,Dry,Daylight,Normal,Collision with animals,2,4,Turnover,Pedestrian,Male,18-30,3,,,Unknown or other,No distancing,Slight Injury
Over 51,Male,,,Public (12 seats),Unknown,No defect,Office areas,Double carriageway (median),Tangent road with flat terrain,Y Shape,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,1,1,Other,Pedestrian,Male,31-50,3,Driver,Normal,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,No priority to pedestrian,Slight Injury
18-30,Male,Junior high school,5-10yr,Long lorry,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Asphalt roads,Dry,Daylight,Normal,Collision with roadside objects,2,1,Moving Backward,Pedestrian,Male,18-30,3,Self-employed,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,Changing lane to the left,Serious Injury
18-30,Male,Junior high school,Above 10yr,Lorry (41?100Q),1-2yr,No defect, Industrial areas,other,Tangent road with flat terrain,Y Shape,Earth roads,Dry,Daylight,Normal,Collision with roadside-parked vehicles,2,1,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from driver's nearside,Changing lane to the right,Slight Injury
18-30,Male,Elementary school,Above 10yr,Automobile,Above 10yr,No defect, Church areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Earth roads,Wet or damp,Darkness - lights lit,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Female,Under 18,3,Driver,Normal,Crossing from offside - masked by  parked or statioNot a Pedestrianry vehicle,No distancing,Slight Injury
18-30,Male,Junior high school,2-5yr,Public (13?45 seats),,,Office areas,Undivided Two way,Tangent road with flat terrain,No junction,,Dry,Daylight,Normal,Collision with roadside objects,2,1,Going straight,Pedestrian,Male,18-30,2,,,Crossing from nearside - masked by parked or statioNot a Pedestrianry vehicle,Changing lane to the right,Slight Injury
31-50,Male,Junior high school,Below 1yr,Lorry (41?100Q),,,Office areas,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Y Shape,Gravel roads,Dry,Daylight,Normal,Collision with pedestrians,2,1,Going straight,Pedestrian,Male,Under 18,3,Driver,Normal,Crossing from driver's nearside,Driving carelessly,Slight Injury
Unknown,Male,Junior high school,5-10yr,Pick up upto 10Q,,No defect,Other,Two-way (divided with broken lines road marking),Tangent road with flat terrain,Crossing,Gravel roads,Dry,Darkness - lights lit,Normal,Collision with animals,4,1,Going straight,Pedestrian,Male,Under 18,3,Other,Normal,Unknown or other,Moving Backward,Slight Injury
